"attraction_booking_id","customer_id","product_id","booking_date","attraction_name","city","price"
"2","1002","5002","2024-10-04","Petronas Twin Towers Tour","Kuala Lumpur","30.00"
"3","1003","5003","2024-10-05","War Remnants Museum","Ho Chi Minh City","15.00"
"4","1011","5004","2024-10-06","Ancol Dreamland","Jakarta","25.00"
"5","1005","5005","2024-10-07","Grand Palace","Bangkok","20.00"
"6","1011","5006","2024-11-03","Tokyo Skytree","Tokyo","40.00"
"7","1012","5007","2024-12-17","Gyeongbokgung Palace","Seoul","30.00"
"8","1013","5008","2024-12-22","Sydney Opera House Tour","Sydney","60.00"
"9","1014","5009","2024-11-27","Victoria Peak Tram","Hong Kong","25.00"
"10","1015","5010","2024-12-07","Great Wall Tour","Beijing","70.00"
"1","1001","5001","2024-02-07","Universal Studios","Singapore","80.00"
