"car_rental_id","customer_id","product_id","booking_date","pick_up_location","drop_off_location","vehicle_type","price"
"1","1008","4001","2024-10-01","Singapore Airport","Downtown Singapore","Sedan","80.00"
"2","1002","4002","2024-10-03","Kuala Lumpur Airport","Hotel","SUV","100.00"
"3","1009","4003","2024-10-04","Ho Chi Minh City Center","Airport","Compact","60.00"
"4","1010","4004","2024-10-05","Jakarta Airport","City Center","Van","90.00"
"5","1005","4005","2024-10-06","Bangkok Airport","Pattaya","Sedan","85.00"
"6","1011","4006","2024-11-01","Tokyo Airport","Shinjuku","SUV","120.00"
"7","1012","4007","2024-12-15","Seoul Airport","Gangnam","Sedan","110.00"
"8","1013","4008","2024-12-20","Sydney Airport","CBD","SUV","130.00"
"9","1014","4009","2024-11-25","Hong Kong Airport","Central","Sedan","100.00"
"10","1015","4010","2024-12-05","Beijing Airport","Chaoyang","SUV","125.00"
